restock,policy,seed,deliveries,moves,conflicts,avg_wait
20,random,1000,30,979,130,64.0
20,random,1001,29,944,142,55.67741935483871
20,random,1002,31,958,136,60.28125
20,random,1003,28,911,175,64.74193548387096
20,random,1004,13,454,508,42.266666666666666
20,random,1005,17,693,324,106.3157894736842
20,random,1006,23,821,226,74.16
20,random,1007,11,448,503,54.30769230769231
20,random,1008,29,994,110,56.15625
20,random,1009,17,612,380,62.10526315789474
20,random,1010,30,973,124,56.375
20,random,1011,28,925,164,56.03333333333333
20,random,1012,3,308,622,27.0
20,random,1013,28,903,187,68.34482758620689
20,random,1014,25,877,203,73.14814814814815
20,random,1015,31,966,127,58.375
20,random,1016,29,903,179,65.03225806451613
20,random,1017,26,908,159,60.142857142857146
20,random,1018,28,958,135,70.45161290322581
20,random,1019,33,1018,91,59.371428571428574
20,random,1020,29,984,111,64.12903225806451
20,random,1021,25,894,196,68.29629629629629
20,random,1022,23,760,288,63.583333333333336
20,random,1023,26,899,164,64.22222222222223
20,random,1024,31,1007,105,56.411764705882355
20,random,1025,24,904,160,60.46153846153846
20,random,1026,23,768,280,57.08
20,random,1027,27,917,164,64.55172413793103
20,random,1028,34,1029,91,55.22222222222222
20,random,1029,7,508,477,50.666666666666664
20,random,1030,9,356,576,32.45454545454545
20,random,1031,4,172,715,21.666666666666668
20,random,1032,20,740,289,77.57142857142857
20,random,1033,28,933,153,62.266666666666666
20,random,1034,33,1025,96,54.470588235294116
20,random,1035,10,374,558,51.75
20,random,1036,3,168,717,20.0
20,random,1037,30,943,146,63.38709677419355
20,random,1038,27,955,139,62.37931034482759
20,random,1039,26,916,135,64.28571428571429
20,random,1040,19,755,277,64.86363636363636
20,random,1041,15,552,437,50.411764705882355
20,random,1042,25,863,198,71.8076923076923
20,random,1043,15,504,472,54.294117647058826
20,random,1044,7,274,640,44.44444444444444
20,random,1045,19,678,359,74.25
20,random,1046,24,798,263,77.36
20,random,1047,28,924,170,63.0
20,random,1048,26,904,158,70.62962962962963
20,random,1049,8,518,472,58.666666666666664
20,random,1050,29,992,104,63.096774193548384
20,random,1051,21,853,179,67.70833333333333
20,random,1052,28,932,134,59.51724137931034
20,random,1053,30,980,126,60.806451612903224
20,random,1054,27,950,136,67.41379310344827
20,random,1055,21,744,278,54.69565217391305
20,random,1056,28,934,157,64.35483870967742
20,random,1057,27,935,147,71.51724137931035
20,random,1058,18,620,390,56.9
20,random,1059,27,897,179,65.55172413793103
20,random,1060,13,574,331,130.1875
20,random,1061,30,973,123,60.8125
20,random,1062,26,900,171,72.96296296296296
20,random,1063,28,949,135,66.66666666666667
20,random,1064,27,947,145,58.03225806451613
20,random,1065,30,1009,104,63.72727272727273
20,random,1066,11,430,515,42.76923076923077
20,random,1067,29,956,136,64.0
20,random,1068,28,927,141,66.64285714285714
20,random,1069,25,900,165,52.925925925925924
20,random,1070,26,946,150,71.10344827586206
20,random,1071,26,950,139,68.93333333333334
20,random,1072,29,970,127,62.41935483870968
20,random,1073,1,410,551,15.0
20,random,1074,25,848,217,76.35714285714286
20,random,1075,2,124,750,15.75
20,random,1076,9,360,576,42.45454545454545
20,random,1077,25,886,170,58.25925925925926
20,random,1078,24,919,150,75.44444444444444
20,random,1079,3,448,526,25.6
20,random,1080,32,976,131,57.61764705882353
20,random,1081,10,384,551,38.25
20,random,1082,27,914,174,61.46666666666667
20,random,1083,30,982,128,58.53125
20,random,1084,10,374,558,35.916666666666664
20,random,1085,28,927,151,63.2
20,random,1086,2,112,756,15.75
20,random,1087,7,508,483,46.22222222222222
20,random,1088,30,952,135,64.4375
20,random,1089,31,982,119,59.72727272727273
20,random,1090,10,486,379,126.81818181818181
20,random,1091,29,927,154,60.87096774193548
20,random,1092,34,1046,83,53.7027027027027
20,random,1093,27,854,215,64.27586206896552
20,random,1094,30,1004,108,64.0625
20,random,1095,25,903,167,71.0
20,random,1096,25,895,168,65.37037037037037
20,random,1097,2,106,762,13.75
20,random,1098,17,659,374,68.89473684210526
20,random,1099,30,985,130,61.59375
20,roundrobin,1000,27,954,143,60.8
20,roundrobin,1001,32,1032,91,53.61764705882353
20,roundrobin,1002,27,934,143,60.214285714285715
20,roundrobin,1003,2,108,761,15.0
20,roundrobin,1004,27,953,137,65.34482758620689
20,roundrobin,1005,30,946,128,63.935483870967744
20,roundrobin,1006,31,996,116,63.09375
20,roundrobin,1007,2,116,756,13.0
20,roundrobin,1008,27,898,171,68.13793103448276
20,roundrobin,1009,28,915,183,61.233333333333334
20,roundrobin,1010,27,874,197,61.57142857142857
20,roundrobin,1011,33,1010,101,53.142857142857146
20,roundrobin,1012,28,962,129,63.766666666666666
20,roundrobin,1013,26,894,174,72.55555555555556
20,roundrobin,1014,33,1031,93,49.457142857142856
20,roundrobin,1015,14,670,350,47.75
20,roundrobin,1016,10,360,578,36.0
20,roundrobin,1017,31,978,130,55.696969696969695
20,roundrobin,1018,28,923,150,64.06451612903226
20,roundrobin,1019,32,1021,96,58.794117647058826
20,roundrobin,1020,29,961,139,58.903225806451616
20,roundrobin,1021,26,924,145,58.62068965517241
20,roundrobin,1022,28,953,143,62.58064516129032
20,roundrobin,1023,2,116,756,15.5
20,roundrobin,1024,30,975,123,59.1875
20,roundrobin,1025,29,969,122,64.03225806451613
